colorcontrast(rgb),colorcontrast(hsv),intensityContrast,i1,i2,tcontrast,tenergy,thomogeneity,tcorrelation,edgesG,result
457.488,85,0.685696,0.838949,0.153253,0.0789117,0.190481,0.965789,0.992256,14405.7,6.5235
240.432,75,0.229224,0.23182,0.461044,0.0868076,0.229932,0.965565,0.974869,156657,5.3333
519.016,22,0.258138,1.0005,0.74236,0.0399364,0.37165,0.985532,0.997697,501016,5.492
438.707,110,0.573453,0.662268,0.088815,0.232752,0.446323,0.953297,0.976862,1080100,6.5359
227.468,1,0.509216,0.782333,0.273117,0.194082,0.197103,0.979982,0.956721,532091,5.2205
67.8206,2,0.0911602,0.738555,0.647394,0.123476,0.647767,0.942481,0.747945,23054.9,5.1581
126.12,3,0.152235,0.454824,0.607059,0.148581,0.440986,0.92787,0.860534,103484,5.4228
594.763,58,0.633429,0.863235,0.229806,0.0672156,0.656276,0.993224,0.942328,823468,4.2328
370.507,112,0.594286,0.697195,0.102909,0.0359395,0.440826,0.987227,0.995451,9836,5.9795
319.5,0,0.430265,0.431054,0.861319,0.0463435,0.234072,0.981253,0.989704,151474,5.325
150.558,32,0.158748,0.709668,0.55092,0.0742552,0.520357,0.969615,0.941264,54727,6.3186
505.142,0,0.649711,0.170646,0.820358,0.130368,0.306298,0.979647,0.986958,414233,6
388.915,18,0.673954,0.823596,0.149643,0.128037,0.287364,0.957184,0.98688,75846.8,5.8737
545.85,20,0.732667,0.910538,0.177871,0.0988329,0.22016,0.966053,0.993237,63833.5,4.5885
303.951,15,0.671631,0.23015,0.901781,0.132143,0.143236,0.93783,0.985573,266791,5.8687
375.601,76,0.627909,0.912227,0.284318,0.151028,0.185423,0.932316,0.987022,134129,4.7031
287.517,15,0.568309,0.79025,0.22194,0.0705696,0.203021,0.968082,0.99104,93621.3,4.439
327.161,2,0.370047,0.389919,0.759967,0.263962,0.227693,0.955511,0.955948,532415,4.8895
307.653,0,0.402147,0.287162,0.689309,0.331668,0.0990852,0.881372,0.95123,301197,5.802
450.663,6,0.594471,0.156095,0.750566,0.297305,0.132596,0.900909,0.968835,135026,5.5487
319.084,85,0.368758,0.45834,0.827099,0.342538,0.111843,0.913437,0.950468,386342,5.2892
315.242,7,0.913943,0.945743,0.0317996,0.246279,0.273822,0.923365,0.958929,4543.27,6.0583
287.496,20,0.512687,0.741603,0.228916,0.220067,0.248804,0.931988,0.965972,54445.4,7.5281
216.742,30,0.256518,0.525804,0.782322,0.173662,0.147899,0.927589,0.956664,200867,4.8601
281.969,51,0.454113,0.821329,0.367216,0.34463,0.153852,0.897596,0.953028,296059,5.2294
